@relation 'prediccion_agotamiento_con_id-weka.filters.unsupervised.attribute.NumericToNominal-R10-weka.filters.unsupervised.attribute.NominalToString-C10-weka.filters.unsupervised.attribute.StringToNominal-R10-weka.filters.unsupervised.attribute.Remove-R1,3-weka.filters.unsupervised.attribute.Remove-R1'

@attribute anio numeric
@attribute mes numeric
@attribute entradas_mes numeric
@attribute salidas_mes numeric
@attribute consumo_promedio_3m numeric
@attribute stock_actual numeric
@attribute agotado {no,si}

@data
2020,2,541,0,0,733,no
2020,3,668,0,0,1401,no
2020,4,0,0,0,1401,no
2020,5,0,0,0,1401,no
2020,6,1289,0,0,2690,no
2020,7,0,0,0,2690,no
2020,8,1545,0,0,4235,no
2020,9,1964,0,0,6199,no
2020,10,517,0,0,6716,no
2020,11,1154,0,0,7870,no
2020,12,1923,0,0,9793,no
2021,1,449,0,0,10242,no
2021,2,0,0,0,10242,no
2021,3,2667,0,0,12909,no
2021,4,516,0,0,13425,no
2021,5,0,0,0,13425,no
2021,6,0,0,0,13425,no
2021,7,2693,0,0,16118,no
2021,8,0,0,0,16118,no
2021,9,60,0,0,16178,no
2021,10,0,0,0,16178,no
2021,11,0,0,0,16178,no
2021,12,1317,0,0,17495,no
2022,1,3056,0,0,20551,no
2022,2,3576,0,0,24127,no
2022,3,1916,0,0,26043,no
2022,4,0,0,0,26043,no
2022,5,0,0,0,26043,no
2022,6,0,0,0,26043,no
2022,7,0,0,0,26043,no
2022,8,0,0,0,26043,no
2022,9,1446,0,0,27489,no
2022,10,0,0,0,27489,no
2022,11,1557,0,0,29046,no
2022,12,1806,0,0,30852,no
2023,1,1936,0,0,32788,no
2023,2,1108,0,0,33896,no
2023,3,4248,0,0,38144,no
2023,4,765,0,0,38909,no
2023,5,1024,0,0,39933,no
2023,6,326,0,0,40259,no
2023,7,1996,0,0,42255,no
2023,8,1093,0,0,43348,no
2023,9,0,0,0,43348,no
2023,10,0,0,0,43348,no
2023,11,2874,0,0,46222,no
2023,12,719,0,0,46941,no
2024,1,2796,0,0,49737,no
2024,2,1851,0,0,51588,no
2024,3,2712,0,0,54300,no
2024,4,0,0,0,54300,no
2024,5,0,0,0,54300,no
2024,6,0,0,0,54300,no
2024,7,1066,0,0,55366,no
2024,8,1870,0,0,57236,no
2024,9,1968,0,0,59204,no
2024,10,2326,0,0,61530,no
2024,11,1088,0,0,62618,no
2024,12,695,0,0,63313,no
2025,1,466,0,0,63779,no
2025,2,3827,0,0,67606,no
